GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-train-service,train.entity,TrainType,122,66,20,0,6,12,15,10,5,10
ts-train-service,train.controller,TrainController,0,147,1,11,0,22,1,12,0,7
ts-train-service,train.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-train-service,train.config,SecurityConfig,133,0,0,0,20,0,4,0,4,0
ts-train-service,train.service,TrainServiceImpl,0,96,0,8,0,24,0,10,0,6
ts-train-service,train.init,InitData,116,0,0,0,33,0,2,0,2,0
ts-train-service,train,TrainApplication,8,0,0,0,3,0,2,0,2,0
