GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-config-service,config.controller,ConfigController,0,42,0,0,0,7,0,7,0,7
ts-config-service,config.service,ConfigServiceImpl,0,193,1,11,0,28,1,11,0,6
ts-config-service,config.entity,Config,91,96,18,12,0,13,16,11,3,9
ts-config-service,config.init,InitData,23,0,0,0,7,0,2,0,2,0
ts-config-service,config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-config-service,config,ConfigApplication,11,0,0,0,4,0,3,0,3,0
ts-config-service,config,SecurityConfig,133,0,0,0,20,0,4,0,4,0
